,PRODUTOS,TIPO,UNIDADE EMBALAGEM,VARIAÇÃO ULTIMOS 12 MESES,MIN,MODAL,MAX,CLASSE,DATA,ARQUIVO
0,ABACATE,,Cx 20 kg,"-57,14",50.0,60.0,70.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
1,ABACAXI ANANÁS,GRANDE,"Unid 2,5 kg",,0.0,0.0,0.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
2,ABACAXI PÉROLA,MÉDIO,"Unid 2,0 kg","40,00",6.0,7.0,8.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
3,AMEIXA NACIONAL,,Cx 5 kg,"33,33",50.0,60.0,70.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
4,AMORA,,"Cx 1 kg / 4 band 0,25 kg","-37,50",40.0,50.0,60.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
5,ATEMÓIA,,Cx 3 kg,"37,50",50.0,55.0,60.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
6,BANANA DA TERRA,,Cx 20 kg,"71,43",110.0,120.0,130.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
7,BANANA FIGO,,Cx 2 kg,,0.0,0.0,0.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
8,BANANA MAÇÃ,EXTRA,Cx 20 kg,"0,00",90.0,100.0,110.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
9,BANANA NANICA/D’ÁGUA,EXTRA,Cx 20 kg,"0,37",50.0,60.0,65.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
10,BANANA OURO,,Cx 20 kg,"2,62",80.0,85.0,110.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
11,BANANA PACOVAN,,Cx 20 kg,,0.0,0.0,0.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
12,BANANA PRATA,EXTRA,Cx 20 kg,"11,11",80.0,100.0,110.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
13,CAJÁ,,Cx 20 kg,,0.0,0.0,0.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
14,CAJÚ,,"Cx 1,6 kg","0,00",30.0,45.0,50.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
15,CAQUI FUYU,,"Cx 2,0 kg","-25,00",20.0,30.0,40.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
16,CAQUI RAMA FORTE,A,Cx 8 kg,"-7,54",30.0,40.0,60.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
17,CARAMBOLA,,"Cx 2,0 kg","-16,67",20.0,25.0,35.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
18,COCO SECO,,SC 30 KG,"40,00",130.0,140.0,160.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
19,COCO VERDE,,Unid,"38,89",2.0,2.5,3.5,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
20,FIGO VERDE,TIPO 8,"Cx 1,0 kg","-16,67",20.0,25.0,30.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
21,FRUTA DE CONDE/PINHA,TIPO 4,"Cx 1 kg / 4 band 0,25 kg","0,00",8.0,10.0,12.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
22,GOIABA VERMELHA,TIPO 12,"Cx 2,0 kg","20,00",15.0,18.0,22.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
23,GRAVIOLA,,"Cx 7,0 kg","0,00",50.0,60.0,70.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
24,JABOTICABA,,"Cx 3,0 kg","-12,50",25.0,35.0,40.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
25,KIWI NACIONAL,,Cx 8 kg,"30,77",160.0,170.0,180.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
26,LARANJA BAHIA,GRANDE,Cx 18 kg,"0,00",80.0,90.0,120.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
27,LARANJA LIMA,,Cx 18 kg,"14,29",70.0,80.0,100.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
28,LARANJA NATAL,GRANDE,Cx 23 kg,"-1,30",50.0,60.0,70.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
29,LARANJA PÊRA,GRANDE,Cx 20 kg,"18,13",50.0,60.0,70.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
30,LARANJA SELETA,GRANDE,Cx 20 kg,"0,00",65.0,70.0,75.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
31,LARANJA VALENCIA,GRANDE,Cx 22 kg,"-10,38",40.0,50.0,60.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
32,LIMA DA PÉRSIA,,Cx 20 kg,"-11,11",70.0,80.0,100.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
33,LIMÃO SICILIANO NACIONAL,,Cx 15 kg,"-15,38",90.0,110.0,130.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
34,LIMÃO TAITI,,Cx 20 kg,"-16,67",40.0,50.0,60.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
35,LISCHIA,,Cx 4 kg,,0.0,0.0,0.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
36,MAÇÃ NACIONAL,FUJI,Cx 18 kg,"50,00",140.0,150.0,180.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
37,MAÇÃ NACIONAL,GALA,Cx 18 kg,"50,00",90.0,120.0,140.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
38,MAMÃO FORMOSA,,Cx 15 kg,"100,00",100.0,120.0,140.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
39,MAMÃO PAPAYA/ HAVAI,,Cx 10 kg,"33,33",70.0,80.0,100.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
40,MANGA,ESPADA,Cx 15 kg,,0.0,0.0,0.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
41,MANGA,PALMER,Cx 18 kg,"38,86",70.0,80.0,90.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
42,MANGA TOMMY ATKINS,,Cx 18 kg,"44,20",80.0,100.0,110.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
43,MANGA TOMMY ATKINS,,Cx 5 kg,"50,00",20.0,30.0,35.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
44,MARACUJÁ,,Cx 10 kg,"33,33",70.0,80.0,90.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
45,MELANCIA,GRANDE,kg,"38,89",2.0,2.5,3.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
46,MELÃO AMARELO,TIPO 5,Cx 13 kg,"-21,81",50.0,60.0,70.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
47,MELÃO DE REDE,TIPO 4,Cx 10 kg,"23,38",70.0,75.0,80.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
48,MELÃO PELE DE SAPO,TIPO 4,Cx 13 kg,"-5,00",40.0,50.0,55.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
49,MORANGO,EXTRA,"Cx 1,2 kg / 4 cambucas","20,00",15.0,18.0,20.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
50,NECTARINA NACIONAL,,,"33,33",70.0,80.0,90.0,1. FRUTAS NACIONAIS,14-03-2023,./pdfs/CEASA-RJ_Boletim_diário_de_preços__14_03_2023.pdf
